category,keywords
Miete,miete|studierendenwerk|wohnheim|rent|vermietung|hausgeld|nebenkosten
Gehalt,gehalt|lohn|entgelt|gehaltszahlung|lohnzahlung|gehaltsabrechnung|gehaltseingang
Streaming,netflix|prime video|disney|streamingdienst|stream|video on demand
LaufendeKosten,gas|wasser|stadtwerke|energie|strom|heizung|nebenkosten
Versicherungen,versicherung|krankenversicherung|lebensversicherung|kfz-versicherung|hausratversicherung
Kreditkarten,barclays|visa|kreditkarte|mastercard|credit card|kartenabrechnung
Sozialleistungen,forderungsnummer|kindergeld|landesoberkasse|sozialhilfe|arbeitslosengeld|hartz iv
Investments,depot|verrechnungskonto|investment|aktie|etf|derivat|sparplan|sparpläne|fonds|anlage|kapitalanlage
Freizeit,kino|sport|unterhaltung|fitness|fitnessstudio|hobby|freizeitpark|dance|club|klub
Essen-Gehen,bar|restaurant|food|cafe|bistro|gaststätte|imbiss|doner|kebab|mc donald|kfc|bk|glovo|lieferando|uber eats
Lebensmittel,lebensmittel|supermarkt|bäckerei|metzgerei|gemüse|obst|nahrungsmittel|aldi|lidl|edeka|rewe|carrefour|tesco|sainsbury's|walmart|kroger|costco|spar|auchan|metro|coop|mercadona|delhaize|leclerc|albert heijn|waitrose|morrison's|intermarche|publix|ica|conad|migros|co-op|el corte ingles|safeway|loblaws|woolworths|coles|penny|netto|kaufland|real|meijer|hy-vee|ica gruppen|sobeys|big y|winco foods|aldi nord|aldi süd|sprouts farmers market|whole foods|trader joe's|wegmans|h-e-b|alcampo|eroski
Reisen, ryanair|lufthansa|flix|eurowings|booking.com|airbnb|uber
OnlineEinkauf,amazon|paypal|ebay|online shop|online kauf|online bestellung|internetkauf
Einkauf,shopping|supermarkt|einzelhandel|markt|laden|kauf
